epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3367,3.94729,3.4672,1.88537,0.33815,0.02535,0.00929,0.0034,3.49832,3.27506,1.47191,0.00177344,0.000992188,0.000992188
2,22.416,3.00046,2.62659,1.31759,0.03005,0.12428,0.03769,0.01354,2.79743,2.40466,1.31471,0.000977975,0.000977975,0.000977975
3,33.5541,2.6309,2.29994,1.21341,0.04751,0.1523,0.05387,0.02123,2.5139,2.20389,1.16597,0.000914058,0.000914058,0.000914058
4,44.4952,2.43105,2.11456,1.16421,0.21437,0.08709,0.06277,0.02591,2.4296,1.97763,1.14523,0.000814503,0.000814503,0.000814503
5,55.7118,2.31301,2.00526,1.13139,0.1084,0.11017,0.06934,0.02987,2.28293,2.00124,1.10935,0.000689058,0.000689058,0.000689058
6,66.5718,2.22611,1.91498,1.10376,0.15555,0.09769,0.07304,0.03377,2.20847,1.8345,1.09643,0.00055,0.00055,0.00055
7,77.4936,2.1618,1.8364,1.08551,0.28824,0.11561,0.08646,0.04004,2.13843,1.75036,1.07067,0.000410942,0.000410942,0.000410942
8,88.3691,2.11086,1.79579,1.0714,0.2816,0.11095,0.07959,0.03737,2.14056,1.71715,1.08024,0.000285497,0.000285497,0.000285497
9,99.1859,2.07475,1.74632,1.06325,0.28982,0.13416,0.09478,0.04447,2.09384,1.64816,1.05288,0.000185942,0.000185942,0.000185942
10,110.027,2.05003,1.7172,1.05494,0.28962,0.13156,0.09763,0.04553,2.05749,1.62934,1.04398,0.000122025,0.000122025,0.000122025
