epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3505,4.09644,3.59577,1.90969,0.41565,0.01895,0.01007,0.00275,3.61324,3.33254,1.3988,0.00177344,0.000992188,0.000992188
2,23.8411,3.17657,2.75043,1.34689,0.83973,0.02849,0.04023,0.01425,2.89387,2.53826,1.27492,0.000977975,0.000977975,0.000977975
3,35.4922,2.82485,2.45316,1.25573,0.64138,0.03997,0.04773,0.01758,2.71761,2.64346,1.20491,0.000914058,0.000914058,0.000914058
4,46.6454,2.57615,2.24813,1.1997,0.31085,0.07007,0.05326,0.02168,2.56135,2.08977,1.17376,0.000814503,0.000814503,0.000814503
5,57.9672,2.42652,2.1088,1.16121,0.09574,0.11268,0.05811,0.02372,2.4617,2.2476,1.13254,0.000689058,0.000689058,0.000689058
6,69.1252,2.31517,1.99757,1.1282,0.12206,0.08846,0.0649,0.0294,2.3419,1.88955,1.10239,0.00055,0.00055,0.00055
7,80.0714,2.25223,1.91601,1.1089,0.14696,0.097,0.07343,0.03393,2.17972,1.80911,1.10131,0.000410942,0.000410942,0.000410942
8,91.1519,2.19723,1.87594,1.09172,0.14568,0.11074,0.075,0.03465,2.18253,1.74179,1.08195,0.000285497,0.000285497,0.000285497
9,102.276,2.15588,1.82013,1.07985,0.17034,0.11324,0.08061,0.0353,2.22879,1.76768,1.06186,0.000185942,0.000185942,0.000185942
10,113.388,2.12629,1.78793,1.06957,0.17709,0.12107,0.08593,0.03878,2.14476,1.68784,1.05629,0.000122025,0.000122025,0.000122025
