epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7528,3.98982,3.56686,1.91503,0.41979,0.01902,0.01071,0.00348,3.47184,3.05598,1.39659,0.00177344,0.000992188,0.000992188
2,35.4677,3.08497,2.71332,1.32346,0.63637,0.03234,0.0326,0.01124,2.95166,2.63872,1.29457,0.000977975,0.000977975,0.000977975
3,52.8098,2.72437,2.40028,1.22315,0.10879,0.09619,0.04519,0.01719,2.69703,2.31351,1.26551,0.000914058,0.000914058,0.000914058
4,70.7136,2.5148,2.20181,1.17289,0.12685,0.08257,0.05871,0.02491,2.48458,2.05942,1.15254,0.000814503,0.000814503,0.000814503
5,87.7574,2.38032,2.0704,1.13647,0.24462,0.10192,0.07148,0.03116,2.31119,1.92238,1.10948,0.000689058,0.000689058,0.000689058
6,105.453,2.2844,1.97251,1.1082,0.16746,0.09387,0.0717,0.03125,2.39645,1.8951,1.10029,0.00055,0.00055,0.00055
7,122.558,2.22509,1.90137,1.09283,0.16525,0.09799,0.07708,0.03607,2.19512,1.79242,1.09843,0.000410942,0.000410942,0.000410942
8,140.047,2.17642,1.86075,1.07925,0.17706,0.10553,0.08014,0.03803,2.17402,1.74014,1.07896,0.000285497,0.000285497,0.000285497
9,157.407,2.14324,1.81753,1.07084,0.17939,0.12465,0.09141,0.04198,2.1484,1.70923,1.0511,0.000185942,0.000185942,0.000185942
10,174.653,2.12029,1.78883,1.06091,0.17919,0.12401,0.09137,0.04203,2.12652,1.68987,1.04889,0.000122025,0.000122025,0.000122025
