epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9747,3.98603,3.5044,1.89106,0.21579,0.02241,0.00955,0.00278,3.64154,3.2734,1.40905,0.00177344,0.000992188,0.000992188
2,31.0668,3.09454,2.71356,1.33219,0.03438,0.15744,0.03797,0.01348,2.95529,2.64204,1.27663,0.000977975,0.000977975,0.000977975
3,46.3979,2.739,2.3999,1.23394,0.40388,0.06366,0.05162,0.02006,2.61464,2.32629,1.18155,0.000914058,0.000914058,0.000914058
4,62.0833,2.53774,2.21375,1.18316,0.09687,0.08073,0.05392,0.02167,2.5421,2.11378,1.153,0.000814503,0.000814503,0.000814503
5,77.3737,2.39946,2.08759,1.14608,0.0912,0.10058,0.0617,0.02577,2.46715,2.17621,1.12282,0.000689058,0.000689058,0.000689058
6,92.4612,2.30421,1.99123,1.11782,0.21701,0.09186,0.06994,0.02988,2.36859,1.92544,1.09758,0.00055,0.00055,0.00055
7,107.788,2.24599,1.91838,1.09922,0.15942,0.09995,0.07652,0.03583,2.15928,1.76582,1.08308,0.000410942,0.000410942,0.000410942
8,122.844,2.1852,1.87105,1.0836,0.13839,0.10786,0.07737,0.03563,2.18087,1.74542,1.07153,0.000285497,0.000285497,0.000285497
9,137.847,2.14537,1.81826,1.07459,0.16205,0.12122,0.08511,0.03865,2.19193,1.78869,1.0611,0.000185942,0.000185942,0.000185942
10,153.013,2.12016,1.78965,1.0658,0.1531,0.12251,0.08739,0.03904,2.17801,1.73878,1.05716,0.000122025,0.000122025,0.000122025
