epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9692,3.9391,3.49468,1.90833,0.53162,0.02172,0.01348,0.00401,3.49044,2.94737,1.39911,0.00177344,0.000992188,0.000992188
2,23.5926,3.03757,2.66267,1.31354,0.03401,0.12423,0.04035,0.01552,2.76299,2.42574,1.23432,0.000977975,0.000977975,0.000977975
3,35.4533,2.67562,2.349,1.21681,0.7333,0.03573,0.05216,0.02,2.55608,2.40197,1.20034,0.000914058,0.000914058,0.000914058
4,46.8835,2.47376,2.1649,1.16851,0.30372,0.07874,0.05568,0.02401,2.44075,2.04945,1.17011,0.000814503,0.000814503,0.000814503
5,58.1754,2.36043,2.04789,1.13698,0.31664,0.11049,0.07032,0.02979,2.33045,1.96212,1.10606,0.000689058,0.000689058,0.000689058
6,69.6344,2.26119,1.95048,1.1066,0.3389,0.09403,0.07471,0.03435,2.27999,1.86666,1.09092,0.00055,0.00055,0.00055
7,81.0542,2.19432,1.87459,1.08847,0.15777,0.10849,0.08204,0.03753,2.15079,1.74826,1.08154,0.000410942,0.000410942,0.000410942
8,92.4501,2.15712,1.84299,1.0758,0.18802,0.11222,0.08374,0.03944,2.15359,1.7256,1.07182,0.000285497,0.000285497,0.000285497
9,103.777,2.11214,1.7889,1.06417,0.19213,0.12751,0.09255,0.04233,2.1501,1.70301,1.0526,0.000185942,0.000185942,0.000185942
10,115.165,2.09346,1.75895,1.0557,0.26274,0.12655,0.09003,0.04109,2.12718,1.68511,1.04991,0.000122025,0.000122025,0.000122025
