epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2249,3.93517,3.47154,1.89487,0.62293,0.01138,0.00903,0.00321,3.52293,3.63139,1.3774,0.00177344,0.000992188,0.000992188
2,24.3344,3.07763,2.69789,1.32429,0.36808,0.05992,0.03794,0.01438,2.8189,2.40761,1.27045,0.000977975,0.000977975,0.000977975
3,36.4595,2.74098,2.39463,1.23018,0.28834,0.08922,0.05296,0.01965,2.65314,2.26794,1.18381,0.000914058,0.000914058,0.000914058
4,48.2825,2.54237,2.20836,1.1793,0.12743,0.09161,0.06344,0.02604,2.5194,2.07573,1.14874,0.000814503,0.000814503,0.000814503
5,60.0342,2.41148,2.08305,1.14392,0.10385,0.09365,0.05616,0.02386,2.57262,2.27904,1.13425,0.000689058,0.000689058,0.000689058
6,71.7541,2.30886,1.98319,1.11466,0.21049,0.08663,0.06185,0.02601,2.51173,1.97656,1.11655,0.00055,0.00055,0.00055
7,83.4238,2.23755,1.90092,1.09626,0.14483,0.1141,0.08396,0.03816,2.18602,1.7882,1.08471,0.000410942,0.000410942,0.000410942
8,95.1581,2.18665,1.85444,1.08182,0.16482,0.11439,0.08167,0.03672,2.19309,1.74145,1.08151,0.000285497,0.000285497,0.000285497
9,106.87,2.14314,1.80094,1.07168,0.1675,0.13025,0.09359,0.04256,2.15672,1.70259,1.05362,0.000185942,0.000185942,0.000185942
10,118.598,2.11835,1.77271,1.06179,0.25106,0.12848,0.09038,0.04039,2.17352,1.72307,1.0567,0.000122025,0.000122025,0.000122025
