epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8438,3.93685,3.4783,1.9015,0.42019,0.0226,0.01288,0.00394,3.3855,2.91582,1.42729,0.00177344,0.000992188,0.000992188
2,32.6056,3.01003,2.6388,1.30931,0.03011,0.16367,0.04004,0.01361,3.04508,2.39435,1.2846,0.000977975,0.000977975,0.000977975
3,48.672,2.63899,2.30881,1.21127,0.37472,0.07883,0.04766,0.01886,2.56148,2.28583,1.2244,0.000914058,0.000914058,0.000914058
4,64.6289,2.44598,2.13264,1.16428,0.21298,0.07746,0.06099,0.02717,2.4258,2.01815,1.12653,0.000814503,0.000814503,0.000814503
5,80.3276,2.31456,2.01064,1.12979,0.1257,0.10425,0.07196,0.03166,2.26904,1.98678,1.10291,0.000689058,0.000689058,0.000689058
6,96.3141,2.22308,1.92203,1.09958,0.2335,0.08216,0.06353,0.02973,2.36715,1.99722,1.09011,0.00055,0.00055,0.00055
7,112.155,2.16015,1.84256,1.08226,0.14484,0.11262,0.08532,0.03969,2.14189,1.74485,1.0586,0.000410942,0.000410942,0.000410942
8,127.651,2.11287,1.79784,1.06957,0.15944,0.10627,0.07807,0.03768,2.17287,1.73297,1.08375,0.000285497,0.000285497,0.000285497
9,143.449,2.07422,1.7464,1.0597,0.2585,0.12627,0.08993,0.04159,2.14235,1.72729,1.05267,0.000185942,0.000185942,0.000185942
10,159.24,2.04857,1.71689,1.05111,0.17245,0.12708,0.09646,0.04466,2.0827,1.64087,1.04155,0.000122025,0.000122025,0.000122025
