epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6352,3.94912,3.48489,1.89829,0.42009,0.02208,0.01194,0.00402,3.36146,3.14774,1.443,0.00177344,0.000992188,0.000992188
2,32.9262,3.0426,2.66861,1.31849,0.03313,0.13379,0.04204,0.01511,2.85658,2.48415,1.24168,0.000977975,0.000977975,0.000977975
3,48.5693,2.65334,2.32993,1.2141,0.04295,0.1705,0.05513,0.02175,2.5651,2.27977,1.14837,0.000914058,0.000914058,0.000914058
4,64.2435,2.45226,2.14681,1.16677,0.11905,0.0856,0.06123,0.02563,2.45087,2.01163,1.13981,0.000814503,0.000814503,0.000814503
5,79.8893,2.32682,2.03118,1.13357,0.18627,0.11287,0.05844,0.02449,2.49915,2.31845,1.11991,0.000689058,0.000689058,0.000689058
6,95.0905,2.24361,1.94584,1.10664,0.17035,0.08156,0.06329,0.02949,2.28389,2.02148,1.09604,0.00055,0.00055,0.00055
7,110.54,2.18109,1.87095,1.08669,0.15955,0.10655,0.08099,0.03747,2.14729,1.75531,1.07109,0.000410942,0.000410942,0.000410942
8,126.068,2.13217,1.82971,1.07177,0.15158,0.11293,0.07768,0.0365,2.1589,1.72074,1.07801,0.000285497,0.000285497,0.000285497
9,142.087,2.09353,1.77729,1.06202,0.16651,0.12643,0.09,0.04094,2.125,1.70156,1.04727,0.000185942,0.000185942,0.000185942
10,158.065,2.07419,1.74796,1.05282,0.15472,0.12643,0.09153,0.04251,2.09597,1.65195,1.0425,0.000122025,0.000122025,0.000122025
