epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3495,4.06815,3.62696,1.93872,0.43488,0.02555,0.0136,0.00439,3.57013,3.8149,1.35177,0.00177344,0.000992188,0.000992188
2,26.9408,3.14465,2.83352,1.32495,0.03907,0.15545,0.04076,0.0147,3.02084,2.87466,1.2562,0.000977975,0.000977975,0.000977975
3,39.2266,2.76265,2.49258,1.2245,0.05914,0.1528,0.05768,0.02249,2.65516,2.3793,1.19204,0.000914058,0.000914058,0.000914058
4,51.0256,2.54143,2.28294,1.1776,0.1397,0.07347,0.055,0.02297,2.6017,2.14214,1.15325,0.000814503,0.000814503,0.000814503
5,63.0979,2.39859,2.14651,1.1412,0.1129,0.09041,0.05923,0.0237,2.77258,2.4664,1.15997,0.000689058,0.000689058,0.000689058
6,74.6755,2.29395,2.05081,1.11327,0.18071,0.0884,0.06903,0.02965,2.39652,1.96235,1.09397,0.00055,0.00055,0.00055
7,86.2196,2.22739,1.96411,1.09491,0.17645,0.10071,0.07744,0.03531,2.22085,1.83045,1.06708,0.000410942,0.000410942,0.000410942
8,97.8747,2.18293,1.9277,1.08141,0.16834,0.11321,0.08219,0.03864,2.15533,1.75946,1.08308,0.000285497,0.000285497,0.000285497
9,109.408,2.15315,1.87891,1.07522,0.18454,0.11608,0.08451,0.03859,2.19814,1.8021,1.05466,0.000185942,0.000185942,0.000185942
10,121.009,2.13578,1.85034,1.06615,0.18354,0.11839,0.08773,0.04046,2.14603,1.75236,1.05378,0.000122025,0.000122025,0.000122025
