epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4246,3.96091,3.55327,1.89458,0.62027,0.02313,0.02073,0.00552,3.54318,4.42592,1.4819,0.00177344,0.000992188,0.000992188
2,24.1823,2.98699,2.69846,1.29165,0.0284,0.14566,0.03692,0.01469,2.79573,2.42192,1.30823,0.000977975,0.000977975,0.000977975
3,35.4679,2.61516,2.34358,1.19844,0.08642,0.12942,0.05412,0.02216,2.58805,2.1872,1.18783,0.000914058,0.000914058,0.000914058
4,46.7195,2.40333,2.14977,1.15177,0.14186,0.09389,0.06828,0.02908,2.44474,2.046,1.1209,0.000814503,0.000814503,0.000814503
5,57.5946,2.28423,2.01919,1.12215,0.16305,0.10236,0.07355,0.03221,2.35799,1.91957,1.08378,0.000689058,0.000689058,0.000689058
6,68.4209,2.18862,1.92134,1.09287,0.35591,0.0891,0.07342,0.03487,2.23709,1.96651,1.06907,0.00055,0.00055,0.00055
7,79.2516,2.12124,1.84932,1.07578,0.18324,0.11703,0.08947,0.04226,2.08732,1.71138,1.05391,0.000410942,0.000410942,0.000410942
8,89.8295,2.07622,1.80505,1.06253,0.17293,0.12196,0.0904,0.04283,2.06451,1.66914,1.05067,0.000285497,0.000285497,0.000285497
9,100.702,2.04573,1.75416,1.05644,0.20663,0.12905,0.09296,0.04255,2.12288,1.70931,1.04153,0.000185942,0.000185942,0.000185942
10,111.533,2.02319,1.72343,1.04593,0.19535,0.13364,0.10293,0.04869,2.00758,1.60575,1.03288,0.000122025,0.000122025,0.000122025
