epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6973,4.02928,3.56059,1.91482,0.31765,0.01751,0.0091,0.00279,3.55338,3.45407,1.39543,0.00177344,0.000992188,0.000992188
2,23.4233,3.17384,2.7652,1.33041,0.152,0.05438,0.02824,0.01045,2.97474,2.49485,1.32638,0.000977975,0.000977975,0.000977975
3,34.9413,2.80736,2.45507,1.23516,0.05107,0.10492,0.0372,0.01289,2.84022,2.43522,1.27337,0.000914058,0.000914058,0.000914058
4,46.5303,2.56773,2.24375,1.18395,0.29522,0.07741,0.05707,0.02315,2.47333,2.04592,1.15536,0.000814503,0.000814503,0.000814503
5,57.9341,2.42057,2.11434,1.14658,0.39778,0.09993,0.06398,0.02686,2.41824,2.06321,1.11598,0.000689058,0.000689058,0.000689058
6,69.1977,2.32574,2.0126,1.11776,0.31954,0.0875,0.06758,0.03017,2.35598,1.92345,1.09284,0.00055,0.00055,0.00055
7,80.524,2.25731,1.93173,1.09783,0.15545,0.10176,0.07663,0.03531,2.19274,1.80608,1.09032,0.000410942,0.000410942,0.000410942
8,91.8897,2.20631,1.89343,1.08287,0.15532,0.10791,0.07672,0.03504,2.242,1.77043,1.09261,0.000285497,0.000285497,0.000285497
9,103.245,2.1629,1.83909,1.07256,0.14222,0.11922,0.08521,0.03851,2.20211,1.77272,1.06262,0.000185942,0.000185942,0.000185942
10,114.648,2.1436,1.8104,1.06466,0.13668,0.11986,0.08482,0.03856,2.17994,1.7454,1.05905,0.000122025,0.000122025,0.000122025
