epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7239,3.93124,3.51545,1.89891,0.27474,0.03806,0.02184,0.00749,3.47448,3.44692,1.34452,0.00177344,0.000992188,0.000992188
2,33.7372,2.89325,2.60482,1.28216,0.04909,0.12851,0.04843,0.0186,2.70781,2.35648,1.2182,0.000977975,0.000977975,0.000977975
3,50.2582,2.55131,2.28371,1.18755,0.06242,0.10984,0.05981,0.02505,2.5217,2.97051,1.14623,0.000914058,0.000914058,0.000914058
4,66.1574,2.35786,2.09807,1.14404,0.1264,0.09078,0.06339,0.02826,2.41088,2.02886,1.12206,0.000814503,0.000814503,0.000814503
5,81.3797,2.23313,1.97029,1.1108,0.15169,0.11159,0.07544,0.03187,2.41435,2.0526,1.10471,0.000689058,0.000689058,0.000689058
6,96.8356,2.14434,1.87497,1.08346,0.25333,0.10609,0.08788,0.04111,2.21321,1.82269,1.07348,0.00055,0.00055,0.00055
7,112.463,2.08585,1.80104,1.06624,0.16006,0.12194,0.0892,0.04149,2.11852,1.71417,1.04708,0.000410942,0.000410942,0.000410942
8,127.839,2.04355,1.76922,1.05464,0.18518,0.13199,0.0938,0.04488,2.04461,1.64866,1.0576,0.000285497,0.000285497,0.000285497
9,143.167,2.01439,1.71285,1.04895,0.19397,0.13484,0.09429,0.04349,2.09429,1.69071,1.03077,0.000185942,0.000185942,0.000185942
10,158.707,1.98882,1.68286,1.03816,0.19466,0.13721,0.10487,0.04993,2.00095,1.595,1.02392,0.000122025,0.000122025,0.000122025
