epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7449,3.95229,3.49368,1.90741,0.42641,0.02364,0.01292,0.00382,3.40801,2.91678,1.35635,0.00177344,0.000992188,0.000992188
2,32.8756,3.00097,2.61448,1.31069,0.03278,0.15557,0.04509,0.01626,2.8424,2.34985,1.21243,0.000977975,0.000977975,0.000977975
3,49.1941,2.63396,2.3089,1.21006,0.27766,0.10822,0.04685,0.01745,2.69273,2.38834,1.29703,0.000914058,0.000914058,0.000914058
4,64.0903,2.43452,2.12508,1.16181,0.21653,0.08797,0.06349,0.02693,2.43868,1.9782,1.1289,0.000814503,0.000814503,0.000814503
5,78.6354,2.31716,2.00727,1.12959,0.42181,0.10098,0.07124,0.03016,2.30655,1.88809,1.11713,0.000689058,0.000689058,0.000689058
6,93.8821,2.22732,1.91958,1.10188,0.15816,0.09438,0.07015,0.03181,2.32748,1.89994,1.09409,0.00055,0.00055,0.00055
7,110.132,2.16459,1.8449,1.08227,0.16579,0.11422,0.08556,0.0398,2.13699,1.74172,1.06826,0.000410942,0.000410942,0.000410942
8,126.356,2.12225,1.80997,1.07032,0.16042,0.10932,0.078,0.03771,2.17161,1.75144,1.08453,0.000285497,0.000285497,0.000285497
9,142.593,2.08816,1.76317,1.06113,0.15342,0.12514,0.08804,0.03944,2.21137,1.74932,1.06505,0.000185942,0.000185942,0.000185942
10,158.489,2.05793,1.72653,1.05263,0.16024,0.13337,0.09444,0.04386,2.08154,1.65171,1.04449,0.000122025,0.000122025,0.000122025
