epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0345,3.92943,3.45895,1.90572,0.31851,0.02356,0.01142,0.00363,3.4635,3.05651,1.42165,0.00177344,0.000992188,0.000992188
2,22.0037,3.01366,2.63968,1.31021,0.16068,0.07113,0.03601,0.01281,2.87384,2.50507,1.3266,0.000977975,0.000977975,0.000977975
3,33.5184,2.65779,2.33798,1.21718,0.28341,0.1145,0.05271,0.02019,2.59498,2.5491,1.19409,0.000914058,0.000914058,0.000914058
4,44.5744,2.45849,2.15591,1.16686,0.125,0.08509,0.05815,0.02497,2.43467,2.05748,1.12184,0.000814503,0.000814503,0.000814503
5,55.4106,2.3335,2.03581,1.13688,0.40835,0.10769,0.06718,0.02888,2.33865,2.00923,1.10099,0.000689058,0.000689058,0.000689058
6,66.2126,2.24219,1.9477,1.10641,0.33816,0.09051,0.06999,0.03127,2.33383,1.92485,1.08328,0.00055,0.00055,0.00055
7,77.1065,2.17562,1.87097,1.08825,0.25579,0.10882,0.08226,0.0379,2.13721,1.73959,1.0643,0.000410942,0.000410942,0.000410942
8,87.87,2.12418,1.82869,1.07536,0.25582,0.1067,0.08007,0.03755,2.18422,1.71912,1.08885,0.000285497,0.000285497,0.000285497
9,98.7305,2.0884,1.77539,1.06644,0.24759,0.12339,0.08611,0.0393,2.15959,1.72953,1.05224,0.000185942,0.000185942,0.000185942
10,109.573,2.06086,1.74184,1.05464,0.25804,0.12636,0.09157,0.042,2.07947,1.66787,1.04608,0.000122025,0.000122025,0.000122025
