variant,display_name,run_count,seeds,uncertainty,precision_percent_mean,precision_percent_std,recall_percent_mean,recall_percent_std,ap50_percent_mean,ap50_percent_std,ap50_95_percent_mean,ap50_95_percent_std,parameters_mean,parameters_std,gflops_at_imgsz_mean,gflops_at_imgsz_std,inference_ms_per_image_mean,inference_ms_per_image_std,training_seconds_mean,training_seconds_std,peak_cuda_reserved_gb_mean,peak_cuda_reserved_gb_std
baseline,Baseline,1,179,not estimated (one seed),17.24905188058429,,12.70351185956225,,9.64318813780087,,4.471213588842492,,3012798.0,,5.17914624,,0.33355182481865503,,189.568213224411,,5.767168,
c3k2,C3k2,1,179,not estimated (one seed),15.605551374743449,,12.518242860724174,,9.14500251472094,,4.248641247959208,,3010478.0,,5.103648768,,0.34679379561971707,,187.82828736305237,,5.639241728,
ghost,Ghost,1,179,not estimated (one seed),13.64633065041285,,11.985918318398717,,8.484074508363944,,3.859082931031213,,2499310.0,,4.37723136,,0.2717459854027991,,143.1006841659546,,5.534384128,
se,SE,1,179,not estimated (one seed),16.034299235922106,,13.33262557265337,,9.446707926287958,,4.38557842712649,,3012960.0,,5.179146496,,0.33549890511089636,,187.64875268936157,,5.702156288,
sppf,Enhanced SPPF,1,179,not estimated (one seed),25.80148728114659,,12.67231606652818,,9.158647586511488,,4.199583363241008,,3012798.0,,5.17914624,,0.2611031021872665,,138.17052578926086,,5.660213248,
gabor,Gabor stem,1,179,not estimated (one seed),19.552761668014625,,13.336339164884409,,10.296234181564126,,4.865834126809303,,3012878.0,,5.5042048,,0.2734583941577658,,140.25252556800842,,5.794430976,
full,Full,1,179,not estimated (one seed),18.275680229172938,,11.806308541308637,,8.764332311459919,,4.0435336938956,,2497232.0,,4.626792704,,0.27667335766172124,,149.58339071273804,,5.679087616,
without_c3k2,Full − C3k2,1,179,not estimated (one seed),19.025507404304857,,12.545661723275458,,9.082518540803555,,4.19424407701734,,2499552.0,,4.702290176,,0.2850609489060665,,147.398108959198,,5.702156288,
without_ghost,Full − Ghost,1,179,not estimated (one seed),19.45347347729441,,11.787912341490326,,8.506175971029998,,4.118728771750045,,3010720.0,,5.428707584,,0.3450109489016288,,188.42508029937744,,5.84056832,
without_se,Full − SE,1,179,not estimated (one seed),15.744984038422166,,12.154598424137777,,8.288089949637648,,3.7264851711077527,,2497070.0,,4.626792448,,0.34736149634565905,,199.8810670375824,,5.643436032,
without_sppf,Full − SPPF,1,179,not estimated (one seed),18.91339351234183,,12.242839665928775,,8.952536048787278,,4.068544435856575,,2497232.0,,4.626792704,,0.2901801094876845,,150.7318332195282,,5.676990464,
without_gabor,Full − Gabor,1,179,not estimated (one seed),15.757868022749749,,11.760914140239006,,8.42089261960128,,3.8526985686224617,,2497152.0,,4.301734144,,0.3746934306627404,,202.22496342658997,,5.542772736,
random_stem,Random stem control,1,179,not estimated (one seed),19.515522127395542,,13.721530065453742,,10.490775637507966,,4.991062936502266,,3012878.0,,5.5042048,,0.33080456204595604,,188.25820183753967,,5.800722432,
