epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7854,4.02917,3.58949,1.91653,0.01577,0.04053,0.01212,0.0033,3.84564,3.58456,1.44668,0.00177344,0.000992188,0.000992188
2,24.6133,3.13125,2.82789,1.31986,0.07012,0.06866,0.03628,0.01408,2.90288,2.49392,1.27171,0.000977975,0.000977975,0.000977975
3,36.727,2.76441,2.48676,1.22235,0.22527,0.08992,0.05119,0.01926,2.9429,2.48543,1.18092,0.000914058,0.000914058,0.000914058
4,48.6589,2.53784,2.26782,1.17174,0.14169,0.07562,0.05758,0.02449,2.4716,2.06112,1.1353,0.000814503,0.000814503,0.000814503
5,60.4829,2.38787,2.12457,1.13654,0.12068,0.10024,0.05924,0.02263,2.65894,2.25971,1.13219,0.000689058,0.000689058,0.000689058
6,72.172,2.28601,2.02334,1.10638,0.18597,0.10054,0.07737,0.03428,2.27296,1.88431,1.08149,0.00055,0.00055,0.00055
7,83.8581,2.22182,1.94049,1.08836,0.1982,0.10891,0.0829,0.0376,2.20131,1.7996,1.06152,0.000410942,0.000410942,0.000410942
8,95.4906,2.17188,1.90123,1.0761,0.18019,0.11759,0.08087,0.03855,2.14373,1.75614,1.07833,0.000285497,0.000285497,0.000285497
9,107.107,2.13724,1.85106,1.0682,0.18261,0.11568,0.0821,0.03666,2.24574,1.8224,1.05622,0.000185942,0.000185942,0.000185942
10,118.723,2.112,1.81893,1.05784,0.18994,0.12637,0.09089,0.04195,2.11477,1.69966,1.04053,0.000122025,0.000122025,0.000122025
