epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3952,4.03402,3.57083,1.92641,0.50896,0.01711,0.00629,0.00195,3.55092,3.81711,1.51383,0.00177344,0.000992188,0.000992188
2,34.8187,3.14432,2.74445,1.32892,0.19227,0.05548,0.03837,0.01368,2.9284,2.40894,1.24613,0.000977975,0.000977975,0.000977975
3,52.0378,2.77052,2.42552,1.23043,0.18845,0.10398,0.05485,0.02119,2.60372,2.30143,1.20261,0.000914058,0.000914058,0.000914058
4,69.4798,2.56773,2.24265,1.18443,0.28863,0.07672,0.05191,0.02059,2.67616,2.19718,1.14019,0.000814503,0.000814503,0.000814503
5,86.7372,2.42966,2.11312,1.14933,0.06766,0.14015,0.05731,0.02314,2.59993,2.33768,1.14433,0.000689058,0.000689058,0.000689058
6,104.343,2.33385,2.02275,1.12078,0.22095,0.07967,0.06728,0.03023,2.35111,1.9197,1.10724,0.00055,0.00055,0.00055
7,121.101,2.26717,1.94235,1.10368,0.14753,0.08293,0.06449,0.03012,2.23906,1.83938,1.1088,0.000410942,0.000410942,0.000410942
8,138.091,2.21537,1.90139,1.08848,0.13859,0.10382,0.07145,0.03295,2.21007,1.7977,1.09656,0.000285497,0.000285497,0.000285497
9,155.406,2.17336,1.84914,1.07807,0.13993,0.11261,0.07973,0.03559,2.23499,1.81551,1.06928,0.000185942,0.000185942,0.000185942
10,172.825,2.15694,1.82791,1.0699,0.15816,0.11765,0.08426,0.03861,2.15256,1.72659,1.05879,0.000122025,0.000122025,0.000122025
