epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2224,3.98047,3.55235,1.90108,0.47344,0.02868,0.01824,0.00505,3.54026,3.16688,1.41549,0.00177344,0.000992188,0.000992188
2,33.2177,3.00566,2.71257,1.29149,0.07926,0.0746,0.03685,0.0141,2.78518,2.41698,1.26845,0.000977975,0.000977975,0.000977975
3,49.8031,2.67145,2.40065,1.20378,0.39137,0.06534,0.04662,0.01809,2.61283,2.22147,1.18886,0.000914058,0.000914058,0.000914058
4,65.6327,2.47513,2.20681,1.15921,0.13917,0.07208,0.05458,0.02312,2.50022,2.15448,1.14776,0.000814503,0.000814503,0.000814503
5,80.8317,2.33408,2.08091,1.12906,0.23959,0.07946,0.06149,0.02506,2.57165,2.11748,1.11395,0.000689058,0.000689058,0.000689058
6,96.4593,2.23551,1.97878,1.1002,0.18885,0.10163,0.07702,0.03404,2.25889,1.84816,1.08489,0.00055,0.00055,0.00055
7,111.943,2.16932,1.89177,1.08287,0.15711,0.1055,0.07758,0.03483,2.25744,1.81212,1.06274,0.000410942,0.000410942,0.000410942
8,127.76,2.12732,1.85516,1.07126,0.19395,0.11809,0.08496,0.04118,2.09573,1.70934,1.06402,0.000285497,0.000285497,0.000285497
9,143.218,2.08792,1.80046,1.06088,0.16038,0.10989,0.07586,0.03316,2.29726,1.87926,1.05726,0.000185942,0.000185942,0.000185942
10,158.901,2.06456,1.76614,1.0522,0.1735,0.11943,0.0882,0.04093,2.10575,1.7373,1.04031,0.000122025,0.000122025,0.000122025
