epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9407,4.06185,3.62193,1.93065,0.23746,0.04398,0.01667,0.00558,3.40186,3.22022,1.38888,0.00177344,0.000992188,0.000992188
2,34.7483,3.17126,2.87237,1.32798,0.04288,0.13294,0.04303,0.01554,3.02488,2.58645,1.25188,0.000977975,0.000977975,0.000977975
3,51.9419,2.79088,2.53602,1.22768,0.04475,0.13508,0.05035,0.01868,2.73495,2.54655,1.19127,0.000914058,0.000914058,0.000914058
4,69.7258,2.58311,2.32595,1.18032,0.08957,0.0819,0.04723,0.0178,2.7743,2.39916,1.18258,0.000814503,0.000814503,0.000814503
5,86.7965,2.43719,2.18629,1.14497,0.08343,0.11711,0.05564,0.02282,2.61317,2.36285,1.1346,0.000689058,0.000689058,0.000689058
6,103.463,2.3276,2.08102,1.11693,0.19012,0.09398,0.06647,0.0273,2.39115,1.97552,1.09689,0.00055,0.00055,0.00055
7,120.057,2.26671,2.00196,1.1001,0.1693,0.09859,0.07436,0.03425,2.22245,1.85507,1.07626,0.000410942,0.000410942,0.000410942
8,136.856,2.21944,1.96367,1.08601,0.1487,0.11202,0.07793,0.03577,2.17744,1.82204,1.07739,0.000285497,0.000285497,0.000285497
9,153.477,2.18494,1.90936,1.07795,0.19544,0.11175,0.07977,0.03581,2.25466,1.83908,1.06074,0.000185942,0.000185942,0.000185942
10,170.374,2.16444,1.88082,1.06768,0.1569,0.1215,0.08284,0.03721,2.18888,1.78058,1.05798,0.000122025,0.000122025,0.000122025
