epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2697,4.07895,3.63519,1.9277,0.03609,0.00222,0.01863,0.00548,4.76256,13.5707,1.45891,0.00177344,0.000992188,0.000992188
2,27.2085,3.16183,2.85074,1.31722,0.035,0.12268,0.03783,0.01378,2.98818,2.49587,1.34863,0.000977975,0.000977975,0.000977975
3,39.3367,2.76181,2.49805,1.22384,0.29788,0.0697,0.05143,0.0192,2.71343,2.31518,1.17321,0.000914058,0.000914058,0.000914058
4,51.2071,2.55869,2.2966,1.17682,0.21192,0.07635,0.05863,0.02421,2.54179,2.10259,1.13747,0.000814503,0.000814503,0.000814503
5,63.1409,2.42985,2.16866,1.14537,0.13097,0.10383,0.06555,0.02661,2.51897,2.21419,1.11752,0.000689058,0.000689058,0.000689058
6,75.03,2.33441,2.07725,1.11591,0.13045,0.10409,0.06595,0.02727,2.41958,2.0697,1.09972,0.00055,0.00055,0.00055
7,86.7753,2.26331,1.98747,1.09618,0.16814,0.10626,0.07616,0.03371,2.23427,1.83265,1.07504,0.000410942,0.000410942,0.000410942
8,98.5895,2.21443,1.94993,1.08416,0.17212,0.11062,0.0811,0.03758,2.1834,1.79247,1.06634,0.000285497,0.000285497,0.000285497
9,110.233,2.17191,1.88869,1.07536,0.17685,0.1153,0.08194,0.03612,2.26531,1.82197,1.06104,0.000185942,0.000185942,0.000185942
10,121.957,2.15401,1.86138,1.06639,0.18894,0.12266,0.09003,0.04094,2.15863,1.73638,1.05073,0.000122025,0.000122025,0.000122025
